Sentence #,Word,POS,Chunk,Tag
1518,who,WP,B-NP,O
1518,saw,VBD,B-VP,O
1518,her,PRP,B-NP,O
1518,said,VBD,B-VP,O
1518,she,PRP,B-NP,O
1518,was,VBD,B-VP,O
1518,still,RB,B-ADVP,O
1518,a,DT,B-NP,O
1518,long,JJ,I-NP,O
1518,way,NN,I-NP,O
1518,from,IN,B-PP,O
1518,being,VBG,B-VP,O
1518,fat,JJ,B-ADVP,O
1518,.,.,O,O
1519,Martin,NNP,B-NP,B-PER
1519,Brooks,NNP,I-NP,I-PER
1519,",",",",O,O
1519,president,NN,B-NP,O
1519,of,IN,B-PP,O
1519,Miss,NNP,B-NP,B-ORG
1519,Universe,NNP,I-NP,I-ORG
1519,Inc,NNP,I-NP,I-ORG
1519,",",",",O,O
1519,said,VBD,B-VP,O
1519,he,PRP,B-NP,O
1519,spoke,VBD,B-VP,O
1519,with,IN,B-PP,O
1519,Machado,NNP,B-NP,B-PER
1519,to,TO,B-VP,O
1519,assure,VB,I-VP,O
1519,her,PRP,B-NP,O
1519,that,IN,B-SBAR,O
1519,organisers,NNS,B-NP,O
1519,were,VBD,B-VP,O
1519,not,RB,I-VP,O
1519,putting,VBG,I-VP,O
1519,pressure,NN,B-NP,O
1519,on,IN,B-PP,O
1519,her,PRP,B-NP,O
1519,.,.,O,O
1520,"""","""",O,O
1520,She,PRP,B-NP,O
1520,'s,VBZ,B-VP,O
1520,fine,JJ,B-ADJP,O
1520,with,IN,B-PP,O
1520,it,PRP,B-NP,O
1520,.,.,O,O
1521,She,PRP,B-NP,O
1521,wished,VBD,B-VP,O
1521,",",",",O,O
1521,as,IN,B-SBAR,O
1521,we,PRP,B-NP,O
1521,all,DT,B-NP,O
1521,did,VBD,B-VP,O
1521,",",",",O,O
1521,that,IN,B-SBAR,O
1521,it,PRP,B-NP,O
1521,had,VBD,B-VP,O
1521,n't,RB,I-VP,O
1521,happened,VBN,I-VP,O
1521,but,CC,O,O
1521,she,PRP,B-NP,O
1521,'s,VBZ,B-VP,O
1521,spiritually,RB,B-ADJP,O
1521,and,CC,O,O
1521,mentally,RB,B-NP,O
1521,terrific,JJ,I-NP,O
1521,.,.,O,O
1522,There,EX,B-NP,O
1522,'s,VBZ,B-VP,O
1522,no,DT,B-NP,O
1522,problem,NN,I-NP,O
1522,whatsoever,RB,B-NP,O
1522,",",",",O,O
1522,"""","""",O,O
1522,he,PRP,B-NP,O
1522,told,VBD,B-VP,O
1522,Reuters,NNP,B-NP,B-ORG
1522,.,.,O,O
1523,He,PRP,B-NP,O
1523,said,VBD,B-VP,O
1523,the,DT,B-NP,O
1523,lifestyle,NN,I-NP,O
1523,associated,VBN,B-VP,O
1523,with,IN,B-PP,O
1523,being,VBG,B-VP,O
1523,Miss,NNP,B-NP,B-MISC
1523,Universe,NNP,I-NP,I-MISC
1523,could,MD,B-VP,O
1523,make,VB,I-VP,O
1523,routine,JJ,B-NP,O
1523,exercise,NN,I-NP,O
1523,difficult,JJ,B-ADJP,O
1523,.,.,O,O
1524,"""","""",O,O
1524,The,DT,B-NP,O
1524,problem,NN,I-NP,O
1524,is,VBZ,B-VP,O
1524,they,PRP,B-NP,O
1524,travel,VBP,B-VP,O
1524,so,RB,B-ADVP,O
1524,much,RB,I-ADVP,O
1524,and,CC,O,O
1524,are,VBP,B-VP,O
1524,so,RB,B-ADJP,O
1524,busy,JJ,I-ADJP,O
1524,that,IN,B-SBAR,O
1524,the,DT,B-NP,O
1524,ability,NN,I-NP,O
1524,to,TO,B-VP,O
1524,have,VB,I-VP,O
1524,any,DT,B-NP,O
1524,type,NN,I-NP,O
1524,of,IN,B-PP,O
1524,regimented,JJ,B-NP,O
1524,routine,JJ,I-NP,O
1524,workout,NN,I-NP,O
1524,does,VBZ,B-VP,O
1524,n't,RB,I-VP,O
1524,exist,VB,I-VP,O
1524,.,.,O,O
1525,I,PRP,B-NP,O
1525,dont,VBP,B-VP,O
1525,know,VB,I-VP,O
1525,if,IN,B-SBAR,O
1525,Alicia,NNP,B-NP,B-PER
1525,is,VBZ,B-VP,O
1525,working,VBG,I-VP,O
1525,out,RP,B-PRT,O
1525,.,.,O,O
1526,We,PRP,B-NP,O
1526,have,VBP,B-VP,O
1526,n't,RB,I-VP,O
1526,talked,VBN,I-VP,O
1526,about,IN,B-PP,O
1526,it,PRP,B-NP,O
1526,because,IN,B-SBAR,O
1526,it,PRP,B-NP,O
1526,has,VBZ,B-VP,O
1526,n't,RB,I-VP,O
1526,been,VBN,I-VP,O
1526,an,DT,B-NP,O
1526,issue,NN,I-NP,O
1526,",",",",O,O
1526,"""","""",O,O
1526,he,PRP,B-NP,O
1526,said,VBD,B-VP,O
1526,.,.,O,O
1528,Kevorkian,JJ,B-NP,B-PER
1528,attends,VBZ,B-VP,O
1528,third,JJ,B-NP,O
1528,suicide,NN,I-NP,O
1528,in,IN,B-PP,O
1528,week,NN,B-NP,O
1528,.,.,O,O
1529,PONTIAC,NNP,B-NP,B-LOC
1529,",",",",O,O
1529,Mich,NNP,B-NP,B-LOC
1529,.,.,O,O
1530,1996-08-22,CD,B-NP,O
1531,Dr.,NNP,B-NP,O
1531,Jack,NNP,I-NP,B-PER
1531,Kevorkian,NNP,I-NP,I-PER
1531,attended,VBD,B-VP,O
1531,his,PRP$,B-NP,O
1531,third,JJ,I-NP,O
1531,suicide,NN,I-NP,O
1531,in,IN,B-PP,O
1531,less,JJR,B-ADJP,O
1531,than,IN,B-PP,O
1531,a,DT,B-NP,O
1531,week,NN,I-NP,O
1531,on,IN,B-PP,O
1531,Thursday,NNP,B-NP,O
1531,",",",",O,O
1531,bringing,VBG,B-VP,O
1531,the,DT,B-NP,O
1531,body,NN,I-NP,O
1531,of,IN,B-PP,O
1531,a,DT,B-NP,O
1531,40-year-old,JJ,I-NP,O
1531,Missouri,NNP,I-NP,B-LOC
1531,woman,NN,I-NP,O
1531,suffering,VBG,B-VP,O
1531,from,IN,B-PP,O
1531,multiple,JJ,B-NP,O
1531,sclerosis,NN,I-NP,O
1531,to,TO,B-PP,O
1531,a,DT,B-NP,O
1531,hospital,NN,I-NP,O
1531,emergency,NN,I-NP,O
1531,room,NN,I-NP,O
1531,",",",",O,O
1531,doctors,NNS,B-NP,O
1531,said,VBD,B-VP,O
1531,.,.,O,O
1532,Dr,NNP,B-NP,O
1532,Robert,NNP,I-NP,B-PER
1532,Aranosian,NNP,I-NP,I-PER
1532,",",",",O,O
1532,emergency,NN,B-NP,O
1532,room,NN,I-NP,O
1532,director,NN,I-NP,O
1532,at,IN,B-PP,O
1532,Pontiac,NNP,B-NP,B-LOC
1532,Osteopathic,NNP,I-NP,I-LOC
1532,Hospital,NNP,I-NP,I-LOC
1532,",",",",O,O
1532,said,VBD,B-VP,O
1532,Kevorkian,JJ,B-NP,B-PER
1532,brought,VBD,B-VP,O
1532,in,IN,B-PP,O
1532,the,DT,B-NP,O
1532,body,NN,I-NP,O
1532,of,IN,B-PP,O
1532,Patricia,NNP,B-NP,B-PER
1532,Smith,NNP,I-NP,I-PER
1532,",",",",O,O
1532,of,IN,B-PP,O
1532,Lees,NNP,B-NP,B-LOC
1532,Summit,NNP,I-NP,I-LOC
1532,",",",",O,O
1532,Mo,NNP,B-NP,B-LOC
1532,.,.,O,O
1533,",",",",O,O
1533,at,IN,B-PP,O
1533,midday,NN,B-NP,O
1533,and,CC,O,O
1533,told,VBD,B-VP,O
1533,doctors,NNS,B-NP,O
1533,that,IN,B-SBAR,O
1533,she,PRP,B-NP,O
1533,had,VBD,B-VP,O
1533,been,VBN,I-VP,O
1533,paralysed,VBN,I-VP,O
1533,by,IN,B-PP,O
1533,the,DT,B-NP,O
1533,disease,NN,I-NP,O
1533,.,.,O,O
1534,It,PRP,B-NP,O
1534,was,VBD,B-VP,O
1534,his,PRP$,B-NP,O
1534,second,JJ,I-NP,O
1534,assisted-suicide,NN,I-NP,O
1534,in,IN,B-PP,O
1534,36,CD,B-NP,O
1534,hours,NNS,I-NP,O
1534,and,CC,O,O
1534,the,DT,B-NP,O
1534,37th,JJ,I-NP,O
1534,that,IN,B-NP,O
1534,he,PRP,B-NP,O
1534,has,VBZ,B-VP,O
1534,acknowledged,VBN,I-VP,O
1534,attending,VBG,I-VP,O
1534,since,IN,B-PP,O
1534,starting,VBG,B-VP,O
1534,his,PRP$,B-NP,O
1534,crusade,NN,I-NP,O
1534,for,IN,B-PP,O
1534,doctor,NN,B-NP,O
1534,assisted,VBN,B-VP,O
1534,suicide,NN,B-NP,O
1534,in,IN,B-PP,O
1534,1990,CD,B-NP,O
1534,.,.,O,O
1535,Kevorkian,JJ,B-NP,B-PER
1535,'s,POS,B-NP,O
1535,lawyer,NN,I-NP,O
1535,",",",",O,O
1535,Geoffrey,NNP,B-NP,B-PER
1535,Fieger,NNP,I-NP,I-PER
1535,",",",",O,O
1535,said,VBD,B-VP,O
1535,those,DT,B-NP,O
1535,attending,VBG,I-NP,O
1535,Smith,NNP,I-NP,B-PER
1535,'s,POS,B-NP,O
1535,death,NN,I-NP,O
1535,included,VBD,B-VP,O
1535,her,PRP,B-NP,O
1535,husband,NN,I-NP,O
1535,",",",",O,O
1535,David,NNP,B-NP,B-PER
1535,",",",",O,O
1535,a,DT,B-NP,O
1535,police,NN,I-NP,O
1535,officer,NN,I-NP,O
1535,",",",",O,O
1535,her,PRP$,B-NP,O
1535,father,NN,I-NP,O
1535,",",",",O,O
1535,James,NNP,B-NP,B-PER
1535,Poland,NNP,I-NP,I-PER
1535,",",",",O,O
1535,and,CC,O,O
1535,Kevorkian,NNP,B-NP,B-PER
1535,.,.,O,O
1536,It,PRP,B-NP,O
1536,was,VBD,B-VP,O
1536,the,DT,B-NP,O
1536,first,JJ,I-NP,O
1536,known,VBN,I-NP,O
1536,time,NN,I-NP,O
1536,that,IN,B-SBAR,O
1536,a,DT,B-NP,O
1536,police,NN,I-NP,O
1536,officer,NN,I-NP,O
1536,has,VBZ,B-VP,O
1536,been,VBN,I-VP,O
1536,president,NN,B-NP,O
1536,at,IN,B-PP,O
1536,the,DT,B-NP,O
1536,suicide,NN,I-NP,O
1536,of,IN,B-PP,O
1536,one,CD,B-NP,O
1536,of,IN,B-PP,O
1536,Kevorkian,NNP,B-NP,B-PER
1536,'s,POS,B-NP,O
1536,patients,NNS,I-NP,O
1536,.,.,O,O
1537,He,PRP,B-NP,O
1537,offered,VBD,B-VP,O
1537,no,DT,B-NP,O
1537,details,NNS,I-NP,O
1537,about,IN,B-PP,O
1537,the,DT,B-NP,O
1537,cause,NN,I-NP,O
1537,of,IN,B-PP,O
1537,Smith,NNP,B-NP,B-PER
1537,'s,POS,B-NP,O
1537,death,NN,I-NP,O
1537,or,CC,O,O
1537,the,DT,B-NP,O
1537,location,NN,I-NP,O
1537,.,.,O,O
1538,She,PRP,B-NP,O
1538,was,VBD,B-VP,O
1538,a,DT,B-NP,O
1538,nurse,NN,I-NP,O
1538,who,WP,B-NP,O
1538,had,VBD,B-VP,O
1538,"""","""",O,O
1538,rapidly,RB,B-ADVP,O
1538,progressing,VBG,B-VP,O
1538,multple,NN,B-NP,O
1538,sclerosis,NN,I-NP,O
1538,.,.,O,O
1538,"""","""",O,O
1539,On,IN,B-PP,O
1539,Tuesday,NNP,B-NP,O
1539,night,NN,I-NP,O
1539,",",",",O,O
1539,Kevorkian,JJ,B-NP,B-PER
1539,attended,VBD,B-VP,O
1539,the,DT,B-NP,O
1539,death,NN,I-NP,O
1539,of,IN,B-PP,O
1539,Louise,NNP,B-NP,B-PER
1539,Siebens,NNP,I-NP,I-PER
1539,",",",",O,O
1539,a,DT,B-NP,O
1539,76-year-old,JJ,I-NP,O
1539,Texas,NNP,I-NP,B-LOC
1539,woman,NN,I-NP,O
1539,with,IN,B-PP,O
1539,amyotrophic,JJ,B-NP,O
1539,lateral,JJ,I-NP,O
1539,sclerosis,NN,I-NP,O
1539,",",",",O,O
1539,or,CC,O,O
1539,Lou,NNP,B-NP,B-PER
1539,Gehrig,NNP,I-NP,I-PER
1539,'s,POS,B-NP,O
1539,disease,NN,I-NP,O
1539,.,.,O,O
1540,On,IN,B-PP,O
1540,August,NNP,B-NP,O
1540,15,CD,I-NP,O
1540,",",",",O,O
1540,Kevorkian,JJ,B-NP,B-PER
1540,helped,VBD,B-VP,O
1540,Judith,NNP,B-NP,B-PER
1540,Curren,NNP,I-NP,I-PER
1540,",",",",O,O
1540,a,DT,B-NP,O
1540,42-year-old,JJ,I-NP,O
1540,Massachusetts,NNP,I-NP,B-LOC
1540,nurse,NN,I-NP,O
1540,",",",",O,O
1540,who,WP,B-NP,O
1540,suffered,VBD,B-VP,O
1540,from,IN,B-PP,O
1540,chronic,JJ,B-NP,O
1540,fatigue,NN,I-NP,O
1540,syndrome,NN,I-NP,O
1540,",",",",O,O
1540,a,DT,B-NP,O
1540,non-terminal,JJ,I-NP,O
1540,illness,NN,I-NP,O
1540,",",",",O,O
1540,to,TO,B-VP,O
1540,end,VB,I-VP,O
1540,her,PRP$,B-NP,O
1540,life,NN,I-NP,O
1540,.,.,O,O
1542,Fairview,NNP,B-NP,B-LOC
1542,",",",",O,O
1542,Texas,NNP,B-NP,B-LOC
1542,",",",",O,O
1542,$,$,B-NP,O
1542,1.82,CD,I-NP,O
1542,million,CD,I-NP,O
1542,deal,NN,I-NP,O
1542,Baa1,JJ,B-ADJP,O
1542,-,:,O,O
1542,Moody,NNP,B-NP,B-ORG
1542,'s,POS,I-NP,I-ORG
1542,.,.,O,O
1543,NEW,NNP,B-NP,B-LOC
1543,YORK,NNP,I-NP,I-LOC
1543,1996-08-22,CD,I-NP,O
1544,Moody,NNP,B-NP,B-ORG
1544,'s,POS,B-NP,I-ORG
1544,Investors,NNP,I-NP,I-ORG
1544,Service,NNP,I-NP,I-ORG
1544,-,:,O,O
1545,Rating,NNP,B-NP,O
1545,Announcement,NN,I-NP,O
1545,As,IN,B-SBAR,O
1545,of,IN,B-PP,O
1545,08/21/96,CD,B-NP,O
1545,.,.,O,O
1546,Issuer,NN,B-NP,O
1546,:,:,O,O
1546,Fairview,NNP,B-NP,B-LOC
1546,Town,NNP,I-NP,I-LOC
1547,State,NN,B-NP,O
1547,:,:,O,O
1547,TX,NNS,B-NP,B-LOC
1548,Rating,NNP,B-NP,O
1548,:,:,O,O
1548,Baa1,JJ,B-ADJP,O
1549,Sale,NNP,B-NP,O
1549,Amount,NNP,I-NP,O
1549,:,:,O,O
1549,"1,820,000",CD,B-NP,O
1550,Expected,VBN,B-VP,O
1550,Sale,NNP,B-NP,O
1550,Date,NNP,I-NP,O
1550,:,:,O,O
1550,08/27/96,CD,B-NP,O
1551,--,:,O,O
1551,U.S.,NNP,B-NP,B-ORG
1551,Municipal,NNP,I-NP,I-ORG
1551,Desk,NNP,I-NP,I-ORG
1551,",",",",O,O
1551,212-859-1650,CD,B-NP,O
1553,Defiant,NNP,B-NP,O
1553,U.S.,NNP,I-NP,B-LOC
1553,neo-Nazi,JJ,I-NP,B-MISC
1553,jailed,VBN,B-VP,O
1553,by,IN,B-PP,O
1553,German,JJ,B-NP,B-MISC
1553,court,NN,I-NP,O
1553,.,.,O,O
1554,Andrew,NNP,B-NP,B-PER
1554,Gray,NNP,I-NP,I-PER
1555,HAMBURG,NNP,B-NP,B-LOC
1555,",",",",O,O
1555,Germany,NNP,B-NP,B-LOC
1555,1996-08-22,CD,I-NP,O
1556,A,DT,B-NP,O
1556,Hamburg,NNP,I-NP,B-LOC
1556,court,NN,I-NP,O
1556,sentenced,VBN,B-VP,O
1556,U.S.,NNP,B-NP,B-LOC
1556,neo-Nazi,JJ,I-NP,B-MISC
1556,leader,NN,I-NP,O
1556,Gary,NNP,I-NP,B-PER
1556,Lauck,NNP,I-NP,I-PER
1556,on,IN,B-PP,O
1556,Thursday,NNP,B-NP,O
1556,to,TO,B-PP,O
1556,four,CD,B-NP,O
1556,years,NNS,I-NP,O
1556,in,IN,B-PP,O
1556,prison,NN,B-NP,O
1556,for,IN,B-PP,O
1556,pumping,VBG,B-VP,O
1556,banned,VBN,I-VP,O
1556,extremist,NN,B-NP,O
1556,propaganda,NN,I-NP,O
1556,into,IN,B-PP,O
1556,Germany,NNP,B-NP,B-LOC
1556,from,IN,B-PP,O
1556,his,PRP$,B-NP,O
1556,base,NN,I-NP,O
1556,in,IN,B-PP,O
1556,the,DT,B-NP,O
1556,United,NNP,I-NP,B-LOC
1556,States,NNP,I-NP,I-LOC
1556,.,.,O,O
1557,Lauck,NNP,B-NP,B-PER
1557,",",",",O,O
1557,from,IN,B-PP,O
1557,Lincoln,NNP,B-NP,B-LOC
1557,",",",",O,O
1557,Nebraska,NNP,B-NP,B-LOC
1557,",",",",O,O
1557,yelled,VBD,B-VP,O
1557,a,DT,B-NP,O
1557,tirade,NN,I-NP,O
1557,of,IN,B-PP,O
1557,abuse,NN,B-NP,O
1557,at,IN,B-PP,O
1557,the,DT,B-NP,O
1557,court,NN,I-NP,O
1557,after,IN,B-SBAR,O
1557,his,PRP$,B-NP,O
1557,conviction,NN,I-NP,O
1557,for,IN,B-PP,O
1557,inciting,VBG,B-VP,O
1557,racial,JJ,B-NP,O
1557,hatred,NN,I-NP,O
1557,.,.,O,O
1558,"""","""",O,O
1558,The,DT,B-NP,O
1558,struggle,NN,I-NP,O
1558,will,MD,B-VP,O
1558,go,VB,I-VP,O
1558,on,IN,B-PP,O
1558,",",",",O,O
1558,"""","""",O,O
1558,the,DT,B-NP,O
1558,43-year-old,JJ,I-NP,O
1558,shouted,VBD,B-VP,O
1558,in,IN,B-PP,O
1558,German,JJ,B-NP,B-MISC
1558,before,IN,B-PP,O
1558,being,VBG,B-VP,O
1558,escorted,VBD,I-VP,O
1558,out,RP,B-PRT,O
1558,by,IN,B-PP,O
1558,security,NN,B-NP,O
1558,guards,NNS,I-NP,O
1558,.,.,O,O
1559,Lauck,NN,B-NP,B-PER
1559,'s,POS,B-NP,O
1559,lawyer,NN,I-NP,O
1559,vowed,VBD,B-VP,O
1559,he,PRP,B-NP,O
1559,would,MD,B-VP,O
1559,appeal,VB,I-VP,O
1559,against,IN,B-PP,O
1559,the,DT,B-NP,O
1559,court,NN,I-NP,O
1559,'s,POS,B-NP,O
1559,decision,NN,I-NP,O
1559,",",",",O,O
1559,arguing,VBG,B-VP,O
1559,that,IN,B-SBAR,O
1559,his,PRP$,B-NP,O
1559,client,NN,I-NP,O
1559,should,MD,B-VP,O
1559,have,VB,I-VP,O
1559,been,VBN,I-VP,O
1559,set,VBN,I-VP,O
1559,free,JJ,B-ADJP,O
1559,because,IN,B-SBAR,O
1559,he,PRP,B-NP,O
1559,had,VBD,B-VP,O
1559,not,RB,I-VP,O
1559,committed,VBN,I-VP,O
1559,any,DT,B-NP,O
1559,offence,JJ,I-NP,O
1559,under,IN,B-PP,O
1559,German,JJ,B-NP,B-MISC
1559,law,NN,I-NP,O
1559,.,.,O,O
1560,The,DT,B-NP,O
1560,German,JJ,I-NP,B-MISC
1560,government,NN,I-NP,O
1560,hailed,VBD,B-VP,O
1560,the,DT,B-NP,O
1560,conviction,NN,I-NP,O
1560,as,IN,B-PP,O
1560,a,DT,B-NP,O
1560,major,JJ,I-NP,O
1560,victory,NN,I-NP,O
1560,in,IN,B-PP,O
1560,the,DT,B-NP,O
1560,fight,NN,I-NP,O
1560,against,IN,B-PP,O
1560,neo-Nazism,NN,B-NP,B-MISC
1560,.,.,O,O
1561,Lauck,NN,B-NP,B-PER
1561,'s,VBZ,B-VP,O
1561,worldwide,JJ,B-ADJP,O
1561,network,NN,B-NP,O
1561,has,VBZ,B-VP,O
1561,been,VBN,I-VP,O
1561,the,DT,B-NP,O
1561,main,JJ,I-NP,O
1561,source,NN,I-NP,O
1561,of,IN,B-PP,O
1561,anti-Semitic,JJ,B-NP,B-MISC
1561,propaganda,NN,I-NP,O
1561,material,NN,I-NP,O
1561,flowing,VBG,B-VP,O
1561,into,IN,B-PP,O
1561,Germany,NNP,B-NP,B-LOC
1561,since,IN,B-PP,O
1561,the,DT,B-NP,O
1561,1970s,NNS,I-NP,O
1561,.,.,O,O
1562,"""","""",O,O
1562,Lauck,NNP,B-NP,B-PER
1562,possessed,VBD,B-VP,O
1562,a,DT,B-NP,O
1562,well-oiled,JJ,I-NP,O
1562,propaganda,NN,I-NP,O
1562,machine,NN,I-NP,O
1562,",",",",O,O
1562,honed,VBN,B-VP,O
1562,during,IN,B-PP,O
1562,more,JJR,B-NP,O
1562,than,IN,I-NP,O
1562,20,CD,I-NP,O
1562,years,NNS,I-NP,O
1562,",",",",O,O
1562,"""","""",O,O
1562,presiding,VBG,B-VP,O
1562,judge,NN,B-NP,O
1562,Guenter,NNP,I-NP,B-PER
1562,Bertram,NNP,I-NP,I-PER
1562,told,VBD,B-VP,O
1562,the,DT,B-NP,O
1562,court,NN,I-NP,O
1562,.,.,O,O
1563,"""","""",O,O
1563,He,PRP,B-NP,O
1563,set,VBP,B-VP,O
1563,up,RP,B-PRT,O
1563,a,DT,B-NP,O
1563,propaganda,NN,I-NP,O
1563,cannon,NN,I-NP,O
1563,and,CC,O,O
1563,fired,VBD,B-VP,O
1563,it,PRP,B-NP,O
1563,at,IN,B-PP,O
1563,Germany,NNP,B-NP,B-LOC
1563,.,.,I-NP,O
1563,"""","""",O,O
1564,said,VBD,B-VP,O
1564,Bertram,NNP,B-NP,B-PER
1564,",",",",O,O
1564,who,WP,B-NP,O
1564,also,RB,B-ADVP,O
1564,read,VBD,B-VP,O
1564,out,RP,B-PRT,O
1564,extracts,VBZ,B-VP,O
1564,from,IN,B-PP,O
1564,Lauck,NNP,B-NP,B-PER
1564,'s,POS,B-NP,O
1564,material,NN,I-NP,O
1564,praising,VBG,B-VP,O
1564,Hitler,NNP,B-NP,B-PER
1564,as,IN,B-PP,O
1564,"""","""",O,O
1564,the,DT,B-NP,O
1564,greatest,JJS,I-NP,O
1564,of,IN,B-PP,O
1564,all,DT,B-NP,O
1564,leaders,NNS,I-NP,O
1564,"""","""",O,O
1564,and,CC,O,O
1564,describing,VBG,B-VP,O
1564,the,DT,B-NP,O
1564,Nazi,NNP,I-NP,B-MISC
1564,slaughter,NN,I-NP,O
1564,of,IN,B-PP,O
1564,millions,NNS,B-NP,O
1564,of,IN,B-PP,O
1564,Jews,NNPS,B-NP,B-MISC
1564,as,IN,B-PP,O
1564,a,DT,B-NP,O
1564,myth,NN,I-NP,O
1564,.,.,O,O
1565,Eager,JJ,B-NP,O
1565,to,TO,B-VP,O
1565,put,VB,I-VP,O
1565,Lauck,NNP,B-NP,B-PER
1565,behind,IN,B-PP,O
1565,bars,NNS,B-NP,O
1565,quickly,RB,B-ADVP,O
1565,and,CC,O,O
1565,avoid,VB,B-VP,O
1565,a,DT,B-NP,O
1565,long,JJ,I-NP,O
1565,and,CC,I-NP,O
1565,complex,JJ,I-NP,O
1565,trial,NN,I-NP,O
1565,",",",",O,O
1565,prosecutor,NN,B-NP,O
1565,Bernd,NNP,I-NP,B-PER
1565,Mauruschat,NNP,I-NP,I-PER
1565,limited,JJ,I-NP,O
1565,his,PRP$,B-NP,O
1565,charges,NNS,I-NP,O
1565,to,TO,B-VP,O
1565,offences,NNS,B-NP,O
1565,since,IN,B-PP,O
1565,1994,CD,B-NP,O
1565,.,.,O,O
1566,He,PRP,B-NP,O
1566,had,VBD,B-VP,O
1566,demanded,VBN,I-VP,O
1566,a,DT,B-NP,O
1566,five-year,JJ,I-NP,O
1566,jail,NN,I-NP,O
1566,term,NN,I-NP,O
1566,but,CC,O,O
1566,said,VBD,B-VP,O
1566,he,PRP,B-NP,O
1566,was,VBD,B-VP,O
1566,satisfied,JJ,B-ADJP,O
1566,with,IN,B-PP,O
1566,the,DT,B-NP,O
1566,court,NN,I-NP,O
1566,'s,POS,B-NP,O
1566,sentence,NN,I-NP,O
1566,.,.,O,O
1567,Publishing,NN,B-NP,O
1567,and,CC,O,O
1567,distributing,VBG,B-VP,O
1567,neo-Nazi,JJ,B-NP,B-MISC
1567,material,NN,I-NP,O
1567,is,VBZ,B-VP,O
1567,illegal,JJ,B-ADJP,O
1567,in,IN,B-PP,O
1567,Germany,NNP,B-NP,B-LOC
1567,but,CC,O,O
1567,Lauck,NNP,B-NP,B-PER
1567,'s,POS,B-NP,O
1567,defence,NN,I-NP,O
1567,team,NN,I-NP,O
1567,had,VBD,B-VP,O
1567,argued,VBN,I-VP,O
1567,that,IN,B-SBAR,O
1567,U.S,NNP,B-NP,B-LOC
1567,freedom,NN,I-NP,O
1567,of,IN,B-PP,O
1567,speech,NN,B-NP,O
1567,laws,NNS,I-NP,O
1567,meant,VBD,B-VP,O
1567,he,PRP,B-NP,O
1567,was,VBD,B-VP,O
1567,free,JJ,B-ADJP,O
1567,to,TO,B-VP,O
1567,produce,VB,I-VP,O
1567,his,PRP$,B-NP,O
1567,swastika-covered,JJ,I-NP,O
1567,books,NNS,I-NP,O
1567,",",",",O,O
1567,magazines,NNS,B-NP,O
1567,",",",",O,O
1567,videos,NNS,B-NP,O
1567,and,CC,I-NP,O
1567,flags,NNS,I-NP,O
1567,in,IN,B-PP,O
1567,his,PRP$,B-NP,O
1567,homeland,NN,I-NP,O
1567,.,.,O,O
1568,Interior,NNP,B-NP,O
1568,Minister,NNP,I-NP,O
1568,Manfred,NNP,I-NP,B-PER
1568,Kanther,NNP,I-NP,I-PER
1568,said,VBD,B-VP,O
1568,in,IN,B-PP,O
1568,a,DT,B-NP,O
1568,statement,NN,I-NP,O
1568,he,PRP,B-NP,O
1568,"""","""",O,O
1568,welcomed,VBD,B-VP,O
1568,the,DT,B-NP,O
1568,prosecution,NN,I-NP,O
1568,and,CC,I-NP,O
1568,conviction,NN,I-NP,O
1568,of,IN,B-PP,O
1568,one,CD,B-NP,O
1568,of,IN,B-PP,O
1568,the,DT,B-NP,O
1568,ringleaders,NNS,I-NP,O
1568,of,IN,B-PP,O
1568,international,JJ,B-NP,O
1568,neo-Nazism,NN,I-NP,B-MISC
1568,and,CC,I-NP,O
1568,biggest,JJS,I-NP,O
1568,distributers,NNS,I-NP,O
1568,of,IN,B-PP,O
1568,vicious,JJ,B-NP,O
1568,racist,JJ,I-NP,O
1568,publications,NNS,I-NP,O
1568,"""","""",O,O
1568,.,.,O,O
1569,"""","""",O,O
1569,It,PRP,B-NP,O
1569,is,VBZ,B-VP,O
1569,high,JJ,B-NP,O
1569,time,NN,I-NP,O
1569,he,PRP,B-NP,O
1569,was,VBD,B-VP,O
1569,behind,IN,B-PP,O
1569,bars,NNS,B-NP,O
1569,",",",",O,O
1569,"""","""",O,O
1569,the,DT,B-NP,O
1569,opposition,NN,I-NP,O
1569,Social,NNP,I-NP,B-MISC
1569,Democrats,NNPS,I-NP,I-MISC
1569,said,VBD,B-VP,O
1569,in,IN,B-PP,O
1569,a,DT,B-NP,O
1569,statement,NN,I-NP,O
1569,.,.,O,O
1570,Lauck,NNP,B-NP,B-PER
1570,",",",",O,O
1570,dressed,VBN,B-VP,O
1570,in,IN,B-PP,O
1570,a,DT,B-NP,O
1570,sober,JJ,I-NP,O
1570,blue,JJ,I-NP,O
1570,suit,NN,I-NP,O
1570,and,CC,O,O
1570,sporting,NN,B-NP,O
1570,his,PRP$,B-NP,O
1570,trademark,NN,I-NP,O
1570,Hitleresque,NNP,I-NP,B-MISC
1570,black,JJ,I-NP,O
1570,moustache,NN,I-NP,O
1570,",",",",O,O
1570,showed,VBD,B-VP,O
1570,no,DT,B-NP,O
1570,sign,NN,I-NP,O
1570,of,IN,B-PP,O
1570,emotion,NN,B-NP,O
1570,as,IN,B-SBAR,O
1570,Bertram,NNP,B-NP,B-PER
1570,spent,VBD,B-VP,O
1570,more,JJR,B-NP,O
1570,than,IN,B-PP,O
1570,an,DT,B-NP,O
